ID,StorageTime,PhysioLAB Pro1(00:07:80:8C:AE:23)|CH1-BVP,PhysioLAB Pro1(00:07:80:8C:AE:23)|CH2-EDA,PhysioLAB Pro1(00:07:80:8C:AE:23)|CH3-RESP
72,2025/12/05 13:55:03.347,143.95,1.69105529785156,0.067138671875
73,2025/12/05 13:55:03.348,143.95390625,1.74560546875,0.238037109375
74,2025/12/05 13:55:03.349,143.93046875,1.79443359375,0.22125244140625
75,2025/12/05 13:55:03.350,143.903125,1.81083679199219,0.0579833984375
76,2025/12/05 13:55:03.351,143.8875,1.81770324707031,0.36163330078125
77,2025/12/05 13:55:03.352,143.81328125,1.78680419921875,0.18463134765625
78,2025/12/05 13:55:03.353,143.778125,1.7425537109375,-0.067138671875
79,2025/12/05 13:55:03.354,143.7625,1.69601440429688,0.44708251953125
80,2025/12/05 13:55:03.355,143.715625,1.65977478027344,0.08544921875
81,2025/12/05 13:55:03.356,143.653125,1.61819458007813,-0.19989013671875
82,2025/12/05 13:55:03.357,143.60625,1.56135559082031,0.42266845703125
83,2025/12/05 13:55:03.358,143.528125,1.54457092285156,0.05645751953125
84,2025/12/05 13:55:03.359,143.48125,1.5380859375,0.17852783203125
85,2025/12/05 13:55:03.360,143.41875,1.53350830078125,0.439453125
86,2025/12/05 13:55:03.361,143.36015625,1.53236389160156,0.12969970703125
87,2025/12/05 13:55:03.362,143.278125,1.5350341796875,-0.164794921875
88,2025/12/05 13:55:03.363,143.246875,1.54151916503906,0.286865234375
89,2025/12/05 13:55:03.364,143.15703125,1.57203674316406,0.048828125
90,2025/12/05 13:55:03.365,143.10625,1.60751342773438,0.201416015625
91,2025/12/05 13:55:03.366,143.04765625,1.64222717285156,0.1708984375
92,2025/12/05 13:55:03.367,142.965625,1.690673828125,0.12969970703125
93,2025/12/05 13:55:03.368,142.90703125,1.74903869628906,0.20294189453125
94,2025/12/05 13:55:03.369,142.825,1.79367065429688,0.0732421875
95,2025/12/05 13:55:03.370,142.78203125,1.81388854980469,0.384521484375
96,2025/12/05 13:55:03.371,142.7,1.81198120117188,0.146484375
97,2025/12/05 13:55:03.372,142.621875,1.78413391113281,-0.12054443359375
98,2025/12/05 13:55:03.373,142.559375,1.74331665039063,0.152587890625
99,2025/12/05 13:55:03.374,142.48125,1.69334411621094,0.14801025390625
100,2025/12/05 13:55:03.375,142.40703125,1.65481567382813,0.2197265625
101,2025/12/05 13:55:03.376,142.29765625,1.61399841308594,0.054931640625
102,2025/12/05 13:55:03.377,142.20390625,1.56059265136719,0.29296875
103,2025/12/05 13:55:03.378,142.090625,1.54533386230469,0.20294189453125
104,2025/12/05 13:55:03.379,142.04375,1.5380859375,0.0640869140625
105,2025/12/05 13:55:03.380,141.934375,1.53121948242188,0.37841796875
106,2025/12/05 13:55:03.381,141.87578125,1.53236389160156,0.23193359375
107,2025/12/05 13:55:03.382,141.778125,1.53388977050781,0.28228759765625
108,2025/12/05 13:55:03.383,141.7,1.54304504394531,0.19073486328125
109,2025/12/05 13:55:03.384,141.57890625,1.57890319824219,0.390625
